NO,市町村,事業者名,店舗名,事業者種別,郵便番号,住所,電話番号,開始（予定）日,PCR検査,抗原検査,特記事項
1,千葉市稲毛区,ウエルシア薬局株式会社,ウエルシア薬局千葉園生店,1,263-0051,千葉県千葉市稲毛区園生町８８０－１,043-207-5771,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
2,千葉市稲毛区,ウエルシア薬局株式会社,ウエルシア薬局千葉宮野木2号店,1,263-0054,千葉県千葉市稲毛区宮野木町1093-1,043-256-3724,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
3,千葉市稲毛区,ウエルシア薬局株式会社,ウエルシア薬局千葉山王店,1,263-0002,千葉県千葉市稲毛区山王町１３４－１,043-304-2223,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
4,千葉市稲毛区,ウエルシア薬局株式会社,ウエルシア薬局千葉小仲台店,1,263-0043,千葉県千葉市稲毛区小仲台７－２０－７,043-290-5775,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
5,千葉市稲毛区,ウエルシア薬局株式会社,ウエルシア薬局千葉長沼店,1,263-0005,千葉県千葉市稲毛区長沼町１４６－１,043-298-0061,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
6,千葉市稲毛区,株式会社千葉薬品,ヤックスドラッグ作草部薬局,1,263-0015,千葉市稲毛区作草部1-10-2,043-207-6003,2022-01-07,True,True,"水曜日：９時～１８時
御来局前に予めお電話ください。"
7,千葉市稲毛区,株式会社千葉薬品,ヤックスドラッグ千葉山王薬局,1,263-0002,千葉市稲毛区山王町48-2,043-312-8813,2022-01-07,True,True,調剤薬局の営業日、営業時間のみ受付可能。
8,千葉市稲毛区,クオール株式会社　クオール薬局稲毛店,クオール薬局稲毛店,1,263-0043,千葉県千葉市稲毛区小仲台2-2-2 エヌズクアトロ2A,043-206-8289,2022-06-01,False,True,"水・金：１４時～１５時
ご来局前に予めご連絡ください。"
9,千葉市稲毛区,クオール株式会社　クオール薬局稲毛駅前店,クオール薬局稲毛駅前店,1,263-0031,千葉県千葉市稲毛区東3-15-8,043-243-8160,2022-06-01,False,True,"水：１３時～１７時
ご来局前に予めご連絡ください。"
10,千葉市稲毛区,株式会社三学　さくらんぼ薬局小中台町店,さくらんぼ薬局小中台町店,1,263-0044,千葉県千葉市稲毛区小中台町356-15,043-207-3960,2022-06-13,True,True,実施日：月～金　10:00～15:00　事前に店舗へお電話下さい。
11,千葉市稲毛区,株式会社三学　さくらんぼ薬局稲毛店,さくらんぼ薬局稲毛店,1,263-0043,千葉県千葉市稲毛区小仲台6-23-10,043-290-8949,2022-06-13,True,True,"実施日：月・火・水　13:00～14:45　　土　14:00～16:00
事前に店舗へお電話下さい。"
12,千葉市花見川区,ウエルシア薬局株式会社,ウエルシア薬局千葉さつきが丘店,1,262-0014,千葉県千葉市花見川区さつきが丘一丁目31番地3,043-216-6558,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
13,千葉市花見川区,ウエルシア薬局株式会社,ウエルシア薬局千葉宮野木台店,1,262-0015,千葉県千葉市花見川区宮野木台３－１－１,043-207-6073,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
14,千葉市花見川区,ウエルシア薬局株式会社,ウエルシア薬局花見川作新台店,1,262-0045,千葉県千葉市花見川区作新台２－１－３,043-298-9881,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
15,千葉市花見川区,ウエルシア薬局株式会社,ウエルシア薬局千葉武石店,1,262-0031,千葉県千葉市花見川区武石町二丁目６１６番地,043-350-3412,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
16,千葉市花見川区,株式会社千葉薬品,ヤックスドラッグ千種薬局,1,260-0012,千葉市花見川区千種町249,043-301-6702,2022-01-07,True,True,調剤薬局の営業日、営業時間のみ受付可能。
17,千葉市花見川区,株式会社日本総合検査センター,日本総合検査センター　千葉検査所,2,262－0032,千葉県花見川区幕張町5－417－71,092-260-8533,2022-01-16,True,True,"営業時間：8：00～20：00
365日休み無し。ドライブスルー検査にて行う。"
18,千葉市花見川区,株式会社フォーラル,さざなみ薬局,1,262-0015,千葉県千葉市花見川区宮野木台３－２９－２,043-252-8212,2022-01-25,True,True,・完全予約制（月水木金　9:00-12:00）
19,千葉市花見川区,"株式会社PROUMED
医療法人社団　同仁会診療所",くすりの福太郎新検見川店,1,262-0023,"千葉市花見川区検見川町3-326-1
平助ビル1F",043-307-8809,2022-01-26,True,True,店舗の営業時間に準ずる
20,千葉市花見川区,HYUGA PRIMARY CARE株式会社,きらり薬局　新検見川店,1,262-0023,千葉県千葉市花見川区検見川町3丁目301-24,043-307-1059,2022-02-07,False,True,
21,千葉県花見川区,株式会社サンドラッグ,サンドラッグ宮野木薬局　　　　,1,262-0019,千葉県千葉市花見川区朝日ケ丘1-35-10,043-306-8050,2022-02-07,True,True,"・受検可能な時間帯
　月火水金　（ＰＣＲ・抗原）９：３０～１４：３０　/（抗原）１４：３０～１７：００ 
　土　　　　（抗原）１０：００～１３：００　/（抗原）１４：３０～１７：００
　※木曜日・日曜日・祝日は実施不可。
・ＰＣＲ検査は結果通知が検体採取日の翌々日になることがあります。
・薬局内の密集を回避するため1日当り及び同一時間帯の受検者を制限して実施します。
（状況に応じて当日の時間帯を指定した整理券配布対応とします。）"
22,千葉県花見川区,クラフト株式会社,さくら薬局　花園店,1,262-0025,千葉県千葉市花見川区花園1-9-19,043-351-0369,2022-04-06,False,True,平日　13時半～14時半　事前電話必要
23,千葉県花見川区,クラフト株式会社,さくら薬局　宮野木店,1,262-0015,千葉県千葉市花見川区宮野木台2-5-33　　ミキ医療モール1階,043-205-4639,2022-04-06,False,True,月・火・水・金：14～15時 事前電話必要
24,千葉県花見川区,医療法人社団愛生会,み春野PCR検査センター,3,262-0007,千葉市花見川区み春野1-1531-6,090-7828-3789,2022-05-27,True,True,
25,千葉県花見川区,株式会社ウィーズ,サンリツ薬局　幕張本郷店,1,262-0033,千葉県千葉市花見川区幕張本郷3-22-14,043-299-2227,2022-06-11,False,True,水、日曜、祝日実施不可
26,千葉市若葉区,ウエルシア薬局株式会社,ウエルシア薬局千葉加曽利店,1,264-0017,千葉県千葉市若葉区加曽利町９３７番地２,043-234-7382,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
27,千葉市若葉区,ウエルシア薬局株式会社,ウエルシア薬局千葉桜木店,1,264-0028,千葉県千葉市若葉区桜木４－１６－５,043-235-6012,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
28,千葉市若葉区,ウエルシア薬局株式会社,ウエルシア薬局千葉小倉町店,1,264-0007,千葉県千葉市若葉区小倉町１７５４番地１,043-234-6607,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
