№,実施者区分,施設等名称,所在地,方部,連絡先,pcr,antigen,対面,オンライン,ドライブスルー,検査対応曜日（特に記載がないものは祝日を除く）,検査対応時間,予約要否,事業開始日,備考
1,薬局,あおぞら薬局競馬場前店検査場,福島県 福島市旭町7-13,県北,オンラインで24時間（問い合わせは平日13～17時024-536-1620）オンライン予約先http://www.sig.co.jp/aozora/,False,True,True,False,False,月～土,"平日：10時～18時
土：10時～13時",要予約,2022-04-01,
2,薬局,福島薬剤師会福島市保健福祉センター北側駐車場無料検査所,福島県 福島市森合町10-6,県北,"平日13～17時（090-5345-7088）
オンライン予約先(24時間）http://www.f-yaku.com/よりリンク",False,True,True,False,False,土、日、祝,"土：15時～18時
日・祝日：9時～12時",要予約,2022-04-01,
3,薬局,有限会社しみず薬局,福島県 福島市大森字舘ノ内74-1,県北,024-545-8298,False,True,True,False,False,月火水金,"月火水金：12時～17時
上記以外の時間は要相談",要予約,2022-04-01,
4,薬局,ぷらんたん薬局,福島県 福島市渡利字沼ノ町45,県北,024-521-1010,False,True,False,False,True,月～金,"10時～12時
14時～16時",要予約,2022-04-01,予約の申込みは平日の9：00～17：00にお願いします
5,薬局,ぷらんたん薬局ささや,福島県 福島市笹谷字塗谷地37-15,県北,024-555-0880,False,True,False,False,True,月～金,"10時～12時
14時～16時",要予約,2022-04-01,予約の申込みは平日の9：00～17：00にお願いします
6,薬局,アジア堂薬局,福島県 福島市伏拝字台田３－３,県北,024-546-7059,False,True,True,False,False,月～金,"10時～12時、
14時～17時",要予約,2022-04-01,
7,薬局,みはる調剤薬局おやま店,福島県 福島市御山字検田83-4,県北,024-535-5501,False,True,False,False,True,月～金,13時～16時,要予約,2022-04-01,
8,薬局,アップル薬局八木田店,福島県 福島市八木田字井戸上89-5,県北,024-544-1941,False,True,False,False,True,月～金,10時～12時、14時～16時,要予約,2022-04-01,
9,薬局,アイン薬局　福島店,福島県 福島市上町5-6 上町テラス1Ｆ,県北,024-573-5721,True,True,True,False,False,月～金、日,9時～18時,要予約,2022-04-01,
10,薬局,アイン薬局　福島鎌田店,福島県 福島市鎌田字舟戸前9-1,県北,024-553-8399,True,False,True,False,False,月金,13時～14時、18時～19時,要予約,2022-04-01,
