番号,地区,名称実施場所,実施場所所在地,問い合わせ先 電話番号,事業開始日,PCR 等検査,抗原定性 検査
1,盛岡,盛岡市指定PCR検査所,岩手県 盛岡市中ノ橋一丁目1-10　プラザおでって1F,03-4333-1640,2021-12-22,True,True
2,盛岡,スタイル薬局,岩手県 盛岡市青山3丁目6-2,019-646-5757,2021-12-22,False,True
3,盛岡,せんぼく調剤薬局,岩手県 盛岡市仙北3丁目13-22,019-635-0330,2021-12-22,True,True
4,盛岡,なごみ薬局,岩手県 盛岡市上堂1丁目18-26,019-648-0753,2021-12-22,True,True
5,盛岡,ポプラ薬局,岩手県 盛岡市名須川町27-42,019-652-2793,2021-12-22,True,True
6,盛岡,ウエルシア薬局,岩手県 盛岡市永井22地割37-1,019-637-5557,2021-12-22,True,True
7,盛岡,ウエルシア薬局,岩手県 盛岡市西松園4-20-1,019-663-6100,2021-12-22,True,True
8,盛岡,ウエルシア薬局,岩手県 盛岡市前九年3-6-26,019-641-5811,2021-12-22,True,True
9,盛岡,ウエルシア薬局,岩手県 盛岡市本宮6-1-65,019-636-1008,2021-12-22,True,True
10,盛岡,ウエルシア薬局,岩手県 盛岡市本町通2-13-8,019-604-7383,2021-12-22,True,True
11,盛岡,すみれ薬局,岩手県 盛岡市西青山2丁目18番57号,019-645-2311,2021-12-22,True,True
12,盛岡,リード薬局,岩手県 盛岡市上田1丁目3番10号,019-622-9700,2021-12-24,True,True
13,盛岡,クラフト薬局,岩手県 盛岡市青山1-20-42,019-641-9001,2022-01-18,False,True
14,盛岡,クスリのアオキ,岩手県 盛岡市中野1丁目27-23,019-601-6608,2022-01-18,True,True
15,盛岡,クスリのアオキ,岩手県 盛岡市津志田町2丁目3-60,019-656-6832,2022-01-18,True,True
16,盛岡,調剤薬局ツルハドラッグ,岩手県 盛岡市上田1丁目3-6,019-621-7268,2022-01-18,True,True
17,盛岡,調剤薬局ツルハドラッグ,岩手県 盛岡市盛岡駅西通二丁目9-1　マリオス5F内,019-621-5200,2022-01-18,True,True
18,盛岡,調剤薬局ツルハドラッグ,岩手県 盛岡市三本柳5地割28-2,019-614-3080,2022-01-18,True,True
19,盛岡,調剤薬局ツルハドラッグ,岩手県 盛岡市津志田西2丁目2-15,019-639-4268,2022-01-18,True,True
20,盛岡,調剤薬局ツルハドラッグ,岩手県 盛岡市大館町18-3,019-643-2681,2022-01-18,True,True
21,盛岡,調剤薬局ツルハドラッグ,岩手県 盛岡市向中野5丁目29-38,019-656-5260,2022-01-18,True,True
22,盛岡,調剤薬局ツルハドラッグ,岩手県 盛岡市津志田中央2丁目17-33,019-637-9100,2022-01-18,True,True
23,盛岡,調剤薬局ツルハドラッグ,岩手県 盛岡市西見前14地割149,019-637-5696,2022-01-18,True,True
24,盛岡,調剤薬局ツルハドラッグ,岩手県 盛岡市向中野字和細谷地21-2,019-656-9685,2022-01-18,True,True
25,盛岡,松園第一病院,岩手県 盛岡市東黒石野3-2-1,019-662-6111,2022-01-18,True,False
26,盛岡,松園第二病院,岩手県 盛岡市西松園3-22-3,019-662-0100,2022-01-18,True,True
27,盛岡,あざみ薬局,岩手県 盛岡市東見前8-20-4,019-639-8706,2022-01-24,False,True
28,県央,滝沢調剤薬局,岩手県 滝沢市鵜飼狐洞1番地303,019-687-5711,2021-12-22,True,True
29,県央,ドレミ薬局,岩手県 滝沢市牧野林1010番地2,019-699-1234,2022-02-15,False,True
30,県央,薬王堂,岩手県 紫波郡矢巾町医大通2丁目7-7,019-601-2295,2021-12-28,True,True
31,県央,薬王堂,岩手県 紫波郡矢巾町大字南矢幅第7地割445,019-698-2131,2021-12-28,True,True
32,県央,薬王堂,岩手県 紫波郡矢巾町大字西徳田第6地割144,019-681-7361,2021-12-28,False,True
33,県央,白樺薬局,岩手県 八幡平市平舘11-11-21,0195-74-3363,2022-01-21,False,True
34,県央,トライ薬局,岩手県 八幡平市田頭37-103-6,0195-78-8224,2022-02-01,True,True
35,県央,調剤薬局ツルハドラッグ,岩手県 紫波郡紫波町高水寺字大坊183-1,019-672-6568,2022-01-18,True,True
36,県央,調剤薬局ツルハドラッグ,岩手県 紫波郡紫波町北日詰字大日堂40-1,019-681-3711,2022-01-18,True,True
37,県央,鶯宿温泉病院,岩手県 岩手郡雫石町南畑32-268,019-681-1133,2022-01-20,True,True
38,県央,ファミリー薬局,岩手県 紫波郡紫波町日詰字下丸森121-7,019-671-1195,2022-01-24,True,True
39,県央,日本調剤,岩手県 紫波郡矢巾町医大通2丁目1-12,019-601-3116,2022-01-25,True,True
40,県央,日本調剤,岩手県 岩手郡葛巻町葛巻第12地割54-1,0195-67-1700,2022-01-25,True,True
41,県央,スマイル薬局,岩手県 八幡平市大更第21地割79-1,0195-75-2871,2022-02-15,False,True
42,中部,桜台調剤薬局,岩手県 花巻市桜台2丁目13-11,0198-21-5036,2021-12-22,True,True
43,中部,ウエルシア薬局,岩手県 花巻市南川原町126-1,0198-21-3015,2021-12-22,True,True
44,中部,ウエルシア薬局,岩手県 北上市さくら通り1-1-34,0197-63-6980,2021-12-22,True,True
45,中部,西和賀すみれ薬局,岩手県 和賀郡西和賀町沢内大野13-3-22,0197-72-6688,2021-12-22,True,True
46,中部,薬王堂,岩手県 北上市九年橋3丁目13-7,0197-72-5210,2021-12-28,True,True
47,中部,さくら薬局,岩手県 北上市村崎野17地割170-2,0197-81-4545,2022-01-18,False,True
48,中部,ファースト調剤薬局,岩手県 北上市九年橋3丁目18-15,0197-61-2838,2022-01-18,False,True
49,中部,東和薬局,岩手県 花巻市東和町安俵6区142-2,0198-42-4370,2022-02-01,False,True
50,中部,クスリのアオキ,岩手県 花巻市下北万丁目178-3,0198-41-5224,2022-01-18,True,True
51,中部,調剤薬局ツルハドラッグ,岩手県 北上市大堤南1丁目1-24,0197-67-6324,2022-01-18,True,True
52,中部,調剤薬局ツルハドラッグ,岩手県 花巻市西大通り2丁目1-25,0198-24-1015,2022-01-18,True,True
53,中部,調剤薬局ツルハドラッグ,岩手県 花巻市御田屋町4-16,0198-21-3110,2022-01-18,True,True
54,中部,ゆぐち薬局,岩手県 花巻市円万寺字下中野45-11,0198-38-1300,2022-01-24,True,True
55,中部,はやせ薬局,岩手県 遠野市材木町2-28,0198-63-2155,2022-02-15,False,True
56,中部,アイン薬局,岩手県 遠野市松崎町白岩14地割41-1,0198-66-3100,2022-02-15,False,True
57,中部,つくし薬局,岩手県 遠野市松崎町白岩15-13-11,0198-66-3300,2022-02-21,False,True
58,中部,守口医院,岩手県 遠野市材木町2-25,0198-63-2170,2022-03-01,True,True
59,奥州,ウエルシア薬局,岩手県 奥州市江刺八日町1-4-10,0197-35-5192,2021-12-22,True,True
60,奥州,ウエルシア薬局,岩手県 奥州市水沢桜屋敷291-1,0197-24-8121,2021-12-22,True,True
61,奥州,いちご薬局,岩手県 奥州市水沢中町55番地,0197-51-1515,2021-12-27,True,True
62,奥州,クスリのアオキ,岩手県 奥州市水沢東中通り2丁目5-24,0197-34-3012,2022-01-18,True,True
63,奥州,クスリのアオキ,岩手県 奥州市水沢太日通り2丁目5-2,0197-34-3226,2022-01-18,True,True
64,奥州,調剤薬局ツルハドラッグ,岩手県 奥州市江刺西大通り8-10,0197-35-7377,2022-01-18,True,True
65,奥州,はだ調剤薬局,岩手県 奥州市水沢羽田町久保11,0197-47-4561,2022-01-20,True,True
66,一関,青葉の杜薬局,岩手県 一関市石畑6-31,0191-31-4510,2021-12-22,False,True
67,一関,薬王堂,岩手県 一関市山目字中野52-1,080-4129-9207,2021-12-28,True,True
68,一関,調剤薬局ツルハドラッグ一関山目店,岩手県 一関市山目泥田86-1,0191-33-2688,2022-01-18,True,True
69,一関,医療法人弘誠会阿部医院,岩手県 一関市東山町長坂字町379,0191-47-3898,2022-02-01,True,False
70,一関,菊池内科医院,岩手県 一関市大東町沖田八日町33,0191-74-2512,2022-01-18,True,True
71,大船渡,調剤薬局ツルハドラック高田北店,岩手県 陸前高田市竹駒町滝の里15-1,0192-54-4268,2022-01-07,True,True
72,大船渡,ユタカ薬局,岩手県 大船渡市盛町字内ノ目11-20,0192-21-1560,2022-01-20,True,True
73,大船渡,アイン薬局,岩手県 大船渡市大船渡町字山馬越175-1,0192-21-3230,2022-02-15,False,True
74,釜石,中田薬局,岩手県 釜石市小佐野町4丁目2-45,0193-21-3355,2021-12-22,True,True
75,釜石,パルム薬局,岩手県 釜石市只越2-5-5,0193-22-3353,2022-01-04,False,True
76,釜石,中田薬局,岩手県 釜石市甲子町第10地割159-2,0193-23-1230,2022-01-21,True,True
77,釜石,大槌おおのクリニック,岩手県 上閉伊郡大槌町吉里吉里二丁目9番20号,0193-44-3122,2022-02-15,True,False
78,釜石,調剤薬局ツルハドラッグ,岩手県 釜石市只越町2丁目4-17,0193-31-2268,2022-01-18,True,True
79,宮古,宮古西町薬局,岩手県 宮古市西町3-3-5,0193-77-5925,2021-12-22,False,True
80,宮古,あさひ調剤薬局,岩手県 宮古市大通4-5-1,0193-71-2015,2022-02-01,False,True
81,宮古,かもめ薬局,岩手県 宮古市和見町8-27,0193-71-2077,2022-01-18,True,True
82,宮古,調剤薬局ツルハドラッグ,岩手県 宮古市保久田8-5,0193-65-0122,2022-01-18,True,True
83,宮古,山田調剤薬局,岩手県 下閉伊郡山田町飯岡第1地割21-2,0193-65-7087,2022-02-15,False,True
84,宮古,アイン薬局,岩手県 下閉伊郡岩泉町岩泉中家19-1,0194-32-3317,2022-02-15,False,True
85,久慈,サンケア薬局,岩手県 久慈市旭町第9地割127,0194-61-1888,2021-12-22,False,True
86,久慈,キング薬局,岩手県 久慈市旭町10-61-1,0194-61-1360,2022-01-18,False,True
87,二戸,アイン薬局,岩手県 二戸郡一戸町一戸字砂森54-1,0195-31-1280,2022-01-10,True,True
88,二戸,堀野調剤薬局,岩手県 二戸市堀野字大川原毛89-1,0195-25-5016,2022-01-10,False,True
