事業所名,事業所所在地,事業開始日,PCR検査の実施,抗原定性検査の実施,備考,管轄保健所,市町村
ウエルシア薬局船岡中央店,柴田郡柴田町船岡中央三丁目18番10号,2022-01-05,True,True,・混雑時は，ご来局頂いた順に整理券を配布,01仙南,柴田町
さくら小児科医院,柴田郡大河原町字住吉町１１－１,2022-01-13,True,True,"・ドライブスルー方式（要事前連絡）
電話：0224ｰ51ｰ5355",01仙南,大河原町
村田内科クリニック,柴田郡村田町大字小泉字西浦84-1,2022-01-14,True,True,"要予約
0224-83-6061",01仙南,村田町
調剤薬局ツルハドラッグ 宮城白石店,白石市大手町1番8号,2022-01-31,True,True,"・問合せ先：0224-22-4361
電話予約不可。土日祝日未実施。
",01仙南,白石市
調剤薬局ツルハドラッグ 角田中央店,角田市角田字町222-2,2022-01-31,True,True,"・問合せ先：0224-63-0277
電話予約不可。土日祝日未実施。
",01仙南,角田市
木下グループPCR検査センター フォルテ大河原町店 仙南地域指定検査所,柴田郡大河原町小島2-1,2022-02-06,True,True,要予約,01仙南,大河原町
さんた薬局,白石市鷹巣東１丁目５－２９,2022-02-25,False,True,"要事前連絡
0224-26-3376",01仙南,白石市
トミザワ薬局船迫店,柴田郡柴田町大字本船迫字上町26-31,2022-04-25,False,True,"・要予約（30分単位で予約受付）
・ドライブスルーのみ
・問合せ：0224-58-1211
・予約可能日時：月・火・木・金　13：30～14：00",01仙南,柴田町
アイン薬局　村田店,柴田郡村田町大字村田字西62-3,2022-05-09,False,True,"火・水・木　17：30～18：00
ドライブスルー方式",01仙南,村田町
アイン薬局　蔵王店,刈田郡蔵王町大字円田字和田138-3,2022-05-09,False,True,"月～金 12：30～13：30，17：30～18：00
ドライブスルー方式",01仙南,蔵王町
木下グループ PCR検査センター 仙台市役所店,仙台市青葉区国分町3-7-1 仙台市役所本庁舎1階 正面玄関東側特設会場,2021-12-30,True,True,要予約,02仙台,仙台市
木下グループ PCR検査センター 仙台駅前店,仙台市宮城野区榴岡2-1-12 KIビル1階,2021-12-30,True,True,要予約,02仙台,仙台市
ウエルシア薬局仙台中山店,仙台市青葉区中山五丁目2番3号,2022-01-05,True,True,"・混雑時は，ご来局頂いた順に整理券を配布
・令和4年2月1日は検査実施なし",02仙台,仙台市
ウエルシア薬局仙台八木山南店,仙台市太白区八木山南二丁目1番地の29 　1階,2022-01-05,True,True,・混雑時は，ご来局頂いた順に整理券を配布,02仙台,仙台市
ウエルシア薬局仙台あすと長町店,仙台市太白区八本松二丁目２番８号,2022-01-05,True,True,・混雑時は，ご来局頂いた順に整理券を配布,02仙台,仙台市
ウエルシア薬局仙台泉高森店,仙台市泉区高森４丁目２番５３９,2022-01-05,True,True,・混雑時は，ご来局頂いた順に整理券を配布,02仙台,仙台市
ウエルシア薬局仙台柳生店,仙台市太白区柳生３丁目４－２,2022-01-05,True,True,・混雑時は，ご来局頂いた順に整理券を配布,02仙台,仙台市
ウエルシア薬局仙台市名坂店,仙台市泉区市名坂字山岸５１－３,2022-01-05,True,True,・混雑時は，ご来局頂いた順に整理券を配布,02仙台,仙台市
ウエルシア薬局仙台鶴が丘店,仙台市泉区鶴が丘一丁目３７－２,2022-01-05,True,True,・混雑時は，ご来局頂いた順に整理券を配布,02仙台,仙台市
ウエルシア薬局仙台富沢西店,仙台市太白区富沢西四丁目２０番地の１６,2022-01-05,True,True,・混雑時は，ご来局頂いた順に整理券を配布,02仙台,仙台市
ウエルシア薬局仙台泉中央店,仙台市泉区泉中央四丁目２０番１,2022-01-05,True,True,・混雑時は，ご来局頂いた順に整理券を配布,02仙台,仙台市
薬局トモズ仙台中央店,仙台市青葉区中央4丁目2-16 仙台中央第一生命ビルディング1階,2022-01-11,True,True,"日曜・祝日は検査未実施。
まずはトモズホームページをご覧ください。",02仙台,仙台市
株式会社日本微生物研究所,仙台市宮城野区扇町2-3-36,2022-02-01,True,False,"弊社ホームページ上から
要予約",02仙台,仙台市
株式会社 ＴＫＭ （株式会社日本微生物研究所）,仙台市若林区荒井7丁目37-1 アライデザインセンター302,2022-02-01,True,False,"弊社ホームページ上から
要予約",02仙台,仙台市
調剤薬局ツルハドラッグ 仙台通町店,仙台市青葉区通町1丁目4番34号,2022-01-31,True,True,"・問合せ先：022-725-4267
電話予約不可。土日祝日未実施。
",02仙台,仙台市
調剤薬局ツルハドラッグ 南光台4丁目店,仙台市泉区南光台四丁目1番28号,2022-01-31,True,True,"・問合せ先：022-342-8525
電話予約不可。土日祝日未実施。
",02仙台,仙台市
調剤薬局ツルハドラッグ 中田店,仙台市太白区中田町字法地北19-9,2022-01-31,True,True,"・問合せ先：022-306-3580
電話予約不可。土日祝日未実施。
",02仙台,仙台市
調剤薬局ツルハドラッグ 南吉成店,仙台市青葉区南吉成3丁目1-23,2022-01-31,True,True,"・問合せ先：022-303-5045
電話予約不可。土日祝日未実施。
",02仙台,仙台市
