事業所名,区,所在地,営業時間,TEL,PCR検査等,抗原定性検査,備考
木下グループ新型コロナＰＣＲセンター秋葉原店,千代田区,千代田区外神田1-14-7秋葉原野村ビル,"月〜日（祝含む）　10:00〜18:00
無休",,True,True,予約制　予約は木下グループHPにて可能
日テレ・木下グループ 新型コロナ検査センター,港区,港区東新橋1丁目6-1,"月〜日（祝含む）　8:00〜19:30
無休",,True,True,予約制　予約は木下グループHPにて可能
木下グループ新型コロナＰＣＲセンター新橋店,港区,港区新橋２−１６−１ニュー新橋ビル１階西側角,"月〜日（祝含む）　8:00〜18:00
奇数月第2日曜　休み",,True,True,予約制　予約は木下グループHPにて可能
木下グループ新型コロナＰＣＲセンター浜松町店,港区,港区芝大門1-16-8,"月〜日（祝含む）　10:00〜18:00
無休",,True,True,予約制　予約は木下グループHPにて可能
木下グループ新型コロナＰＣＲセンター新宿店,新宿区,新宿区新宿歌舞伎町1-24-3,"月〜日（祝含む）　8:00〜18:30
無休",,True,True,予約制　予約は木下グループHPにて可能
木下グループ新型コロナＰＣＲセンター羽田空港第１ターミナル店,大田区,大田区羽田空港3-3-2,"月〜日（祝含む）　7:00〜20:00
無休",,True,True,予約制　予約は木下グループHPにて可能
木下グループ新型コロナＰＣＲセンター羽田空港第２ターミナル店,大田区,大田区羽田空港3-4-2,"月〜日（祝含む）　9:00〜18:00
無休",,True,True,予約制　予約は木下グループHPにて可能
木下グループ新型コロナＰＣＲセンター渋谷店,渋谷区,渋谷区道玄坂2-8-9市橋ビル,"月〜日（祝含む）　10:30〜18:30
無休",,True,True,予約制　予約は木下グループHPにて可能
荒川区連携 木下グループ新型コロナ検査センター 熊野前アクト21会場,荒川区,荒川区東尾久五丁目9番3号,"月〜日（祝日含む）　9:00〜12:00/13:00〜17:00
無休",,True,True,予約制　予約は木下グループHPにて可能
荒川区連携 木下グループ新型コロナ検査センター 荒川総合スポーツセンター会場,荒川区,荒川区南千住6-45-5,"月〜日（祝含む）　9:00〜12:00/13:00〜17:00
無休",,True,True,予約制　予約は木下グループHPにて可能
足立区連携 木下グループPCR検査センター 足立区役所本庁舎会場,足立区,足立区中央本町1丁目17-1,"月〜日（祝日含む）　9:00〜19:00
6/11，12日　休み　",,True,True,予約制　予約は木下グループHPにて可能
木下グループ 新型コロナＰＣＲセンター 吉祥寺店,武蔵野市,武蔵野市吉祥寺本町1-8-4コスモビル1階,"月〜日（祝含む）　10:00〜17:00
第3火　休み",,True,True,予約制　予約は木下グループHPにて可能
Ｊ−ＶＰＤ東京ラボラトリー,新宿区,新宿区愛住町22第3山田ビル1階Ｂ室,"月〜土　10:00〜18:00（16時までの受付は当日報告）
日祝　休み",03-6274-8198,True,True,"上記お問合せ対応時間：月〜土　10:00〜18:00　日祝　休み
※メールアドレスなしで受検可能"
Ｊ−ＶＰＤ東京ラボラトリー （期間限定ブース出張採取）,北区,北区王子本町1丁目2-11　北区役所第二庁舎,"月〜日（祝含む）　10:00〜16:00
無休",03-6274-8198,True,False,"天候によって急遽中止する可能性があります。受検される場合は、あらかじめ
「03-6274-8198（お問合せ対応時間：月〜土　10:00〜18:00、日祝　10:00〜14:00）」にて実施状況をご確認ください。
※Eメールアドレスをお持ちでない方も検査が可能です。"
ＭＳＪ八王子ＰＣＲ検査スポット,八王子市,八王子市東町8-9,"月〜日（祝含む）　8:00〜19:00
無休",,True,False,※Eメールアドレスをお持ちでない方も検査が可能です。
