追加・変更,市町村,事業所名称,所在地,連絡先（TEL）,無料検査開始日,検査対応曜日・時間,pcr,antigen,備　考（注意事項等）
,富山市,Ｖ・drug　くまの薬局,富山市若竹町2-120-8,076-428-4646,2022-01-19,"月～金：13:00-15:00
祝日休業",True,False,PCR検査を受検される場合、申込時にメールアドレスが必須となります。
,富山市,Ｖ・drug　もえぎ調剤薬局,富山市大町2区1-4,076-491-4194,2022-01-19,"月～水、金：13:30-15:00
祝日休業",True,True,PCR検査を受検される場合、申込時にメールアドレスが必須となります。
,富山市,Ｖ・drug　掛尾南薬局,富山市掛尾町56-3,076-464-3931,2022-01-19,"月、火、木～土：9:30-15:30
祝日休業",True,True,PCR検査を受検される場合、申込時にメールアドレスが必須となります。
,富山市,Ｖ・drug　大沢野南薬局,富山市上二杉607番,076-461-3493,2022-01-19,"月～土：13:00-17:00
祝日休業",True,True,PCR検査を受検される場合、申込時にメールアドレスが必須となります。
,富山市,Ｖ・drug　富山花園薬局,富山市花園町三丁目8番地3号,076-423-2250,2022-01-19,"月、火、木、金：13:30-14:30
祝日休業",True,True,PCR検査を受検される場合、申込時にメールアドレスが必須となります。
,富山市,Ｖ・drug　富山太郎丸薬局,富山市太郎丸本町四丁目2番5,076-420-3958,2022-01-19,"月～金：15:00-18:00
祝日休業",True,True,PCR検査を受検される場合、申込時にメールアドレスが必須となります。
,富山市,Ｖ・drug　富山二俣薬局,富山市二俣370-1,076-464-3720,2022-01-19,"月～水、金：13;00-14:30
木　　：14:00-17:00
祝日休業",True,True,PCR検査を受検される場合、申込時にメールアドレスが必須となります。
,富山市,Ｖ・drug　富山婦中薬局,富山市婦中町西ヶ丘1925,076-466-0805,2022-01-19,"月～金：9:00-10:00
　　　　14:00-16:00
祝日休業",True,True,PCR検査を受検される場合、申込時にメールアドレスが必須となります。
,富山市,アイン薬局富山住吉町店,富山市住吉町1丁目5-23,076-494-1515,2022-02-07,"月火水金：8:30～18:00
木　　　：8:30～16:30
土　　　：8:30～16:00
日祝日休業",False,True,ドライブスルー方式で実施します。
,富山市,アイン薬局富山岩瀬店,富山市東岩瀬町333,076-438-9399,2022-02-01,"月火水金　8：30～18：00
木　　　　8：30～16：30
土　　　　8：30～12：00
日祝日　　休み",False,True,ドライブスルー方式で実施します。
,富山市,アイン薬局富山市民病院前店,富山市今泉北部町1-5　富山市今泉ふれあいハウス1階,076-493-1706,2022-02-01,"月～金　9：00～18：00
土　　　9：00～12：00
日祝日　休み",False,True,ドライブスルー方式で実施します。
,富山市,アイン薬局富山西店,富山市婦中町下轡田1019,076-464-3943,2022-02-01,"月～金　8：30～17：30
土　　　8：30～12：30
日祝日　休み",False,True,
,富山市,アイン薬局富山大学病院前店,富山市杉谷106番1,076-436-2352,2022-02-01,"月～金　8：45～17：45
土　　　9：00～12：00
日祝日　休み",False,True,ドライブスルー方式で実施します。
,富山市,あおば薬局くれは店,富山市呉羽町7187-27,076-436-2302,2022-01-11,"月、火、木、金：9:00-18:30
水　　　　　　：9:00-17:45
土　　　　　　：9:00-13:00",False,True,
,富山市,あおば薬局中川原店,富山市中川原字土馬割43-10,076-492-2108,2022-01-11,"月～水、金：8:45-17:45
木　　　　：8:45-17:30
土　　　　：8:45-12:45",False,True,
,富山市,あおば薬局堀店,富山市堀208,076-491-6012,2022-01-11,"月、火、木、金：8:30-18:30
水　　　　　　：8:30-12:30
土　　　　　　：8:30-17:15",False,True,
,富山市,あざみ薬局,富山市千石町6-3-6,076-420-7181,2021-12-22,"月～金：15:00-18:00
土　　：10:00-13:00
12/30～1/3は休業",True,False,混みあっている場合がありますので、検査希望の１時間前までにご連絡をいただくことを推奨しております。
,富山市,一般社団法人　日本健康倶楽部北陸支部富山診療所,富山市二口町4丁目3−1,076-493-1717,2021-01-11,"月～金：9:00-15:00
祝日及び12/25～1/7は休業",True,True,ドライブスルー方式で検査を実施します。
,富山市,ウエルシア薬局富山奥田店,富山市奥田町35-1,076-482-3002,2021-12-24,"月～土：9:00-19:00
祝日及び1/3休業",True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
抗原定性検査キットの入荷状況により検査数の制限がある場合がございますのでご了承ください。
ウエルシア薬局のHPより検査の予約ができるようになりました。（https://www.welcia-yakkyoku.co.jp/）2月14日(月)より開始予定です。"
,富山市,ウエルシア薬局富山五福店,富山市五福5385-3 ,076-443-8107,2021-12-24,"月～土：9:00-19:00
祝日及び1/3休業",True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
抗原定性検査キットの入荷状況により検査数の制限がある場合がございますのでご了承ください。
ウエルシア薬局のHPより検査の予約ができるようになりました。（https://www.welcia-yakkyoku.co.jp/）2月14日(月)より開始予定です。"
